number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
265,-0.5973791889985514,2025-12-04 13:36:12.259566,2025-12-04 13:36:20.628431,0 days 00:00:08.368865,0.8716293266772291,0.04941972671541344,0.08456315975049045,9,7,7,125,4.013404195223282,3.2882823247915045,1.172579142082953,0.6539541932013224,3.5131881435730485,0.5412526711090908,1.7682266873424641,COMPLETE
266,-0.6011081552144463,2025-12-04 13:36:14.814095,2025-12-04 13:36:39.947599,0 days 00:00:25.133504,0.8705530674843165,0.041915869769782316,0.08441989321705627,8,7,8,416,4.027451676086472,2.9509405707509004,1.0927717131384747,0.64761919026449,3.522042098271152,0.5416565328205506,1.7582727024197777,COMPLETE
267,-0.6001671860034988,2025-12-04 13:36:18.690552,2025-12-04 13:36:43.331050,0 days 00:00:24.640498,0.8703606474272653,0.008393619398435026,0.0833885040759568,9,7,8,418,3.562296206362854,2.972636016384164,1.1714383769420618,0.7229237754901976,3.518070972331927,0.5194927258447936,1.7319432204447147,COMPLETE
268,-0.5896051332811758,2025-12-04 13:36:20.625369,2025-12-04 13:36:46.812821,0 days 00:00:26.187452,0.8669725276286572,0.14086585055623646,0.015156274396282924,9,7,8,417,4.016703658161604,2.948983850946749,1.1796077429785408,0.6459496690548413,3.515950249324952,0.543265389865636,1.7614398882456777,COMPLETE
269,-0.5582500275071521,2025-12-04 13:36:20.630252,2025-12-04 13:36:45.477413,0 days 00:00:24.847161,0.875062052028716,0.43122981026480445,0.0845239390879729,8,7,8,417,4.02248109334172,2.962983720451578,1.2013119427199244,0.6503548568026407,1.6595884472818605,0.527483189851573,1.7501409848021445,COMPLETE
270,-0.6003448183673087,2025-12-04 13:36:21.794364,2025-12-04 13:36:46.592253,0 days 00:00:24.797889,0.8378069456617582,0.018601217116881015,0.08582510359728919,8,7,8,418,4.026749118522428,2.9927557353962713,1.1963430438631681,0.6491185257590121,3.5121793680026885,0.5425639979838413,1.7295170919250713,COMPLETE
271,-0.6006587364735072,2025-12-04 13:36:22.817555,2025-12-04 13:36:44.338497,0 days 00:00:21.520942,0.864542351401039,0.005429020348191822,0.08309109869230992,8,6,8,417,4.002039994646191,2.9625622278810635,1.1833162388859524,0.6488269222202296,3.509250178797854,0.5425160637144744,1.7322346635864103,COMPLETE
272,-0.5992291117743243,2025-12-04 13:36:22.925933,2025-12-04 13:36:47.824654,0 days 00:00:24.898721,0.8369611608440011,0.45506492587258174,0.08569784452071427,9,7,8,419,3.9946918108100546,3.005491444419091,1.1931176952769211,0.6623270952641367,3.515424628382039,0.5437634294274778,1.6043308316112699,COMPLETE
273,-0.6008570312352908,2025-12-04 13:36:26.208515,2025-12-04 13:36:50.503147,0 days 00:00:24.294632,0.8759177292463385,0.0010728290408428265,0.08447315119199278,9,7,8,416,4.014327803344403,2.9614765379935064,1.1960406207194996,0.6501302932402854,3.5208379481066534,0.5400920563639247,1.6260934143833,COMPLETE
274,-0.5998597079393883,2025-12-04 13:36:27.451229,2025-12-04 13:36:52.334388,0 days 00:00:24.883159,0.8660127515609682,0.010669844173308636,0.08407218325887585,10,7,8,417,4.003612447466907,2.9736120247510813,1.1889934003552163,0.6440551881599457,3.510080433830645,0.5415510630956499,1.6224617010136948,COMPLETE
275,-0.5795426369462938,2025-12-04 13:36:27.533986,2025-12-04 13:36:52.513478,0 days 00:00:24.979492,0.876235211329881,0.15159325047975902,0.08533089426712574,9,7,7,417,4.0274783713799955,3.0451445965955046,1.1931090046741284,0.6473534540894048,3.510456681139084,0.8136386620321159,1.628681303386358,COMPLETE
276,-0.6007126606173387,2025-12-04 13:36:27.884389,2025-12-04 13:36:48.729308,0 days 00:00:20.844919,0.8791730753879448,0.1287867132624518,0.08529074988760246,9,6,8,414,4.04059252269446,3.0161134312495776,1.2621660168711504,0.6479129732762624,3.508007507970151,0.5127948104147912,1.620703930931944,COMPLETE
277,-0.5987013583319947,2025-12-04 13:36:28.317042,2025-12-04 13:36:49.098557,0 days 00:00:20.781515,0.8395155956981134,0.1441446297199824,0.08591513431086822,10,6,8,416,4.02138540399657,2.9729637512315312,1.173009227570014,0.6406058114882001,3.5074225053110717,0.511980972534179,1.8128600290837638,COMPLETE
278,-0.5663847055911476,2025-12-04 13:36:28.460287,2025-12-04 13:36:49.273122,0 days 00:00:20.812835,0.8662984866422166,0.1396528695652236,0.08612649442967327,9,6,8,416,3.5965285543182985,3.0937264115410583,1.2039741736877774,0.6428230491242295,1.708155002761786,0.5144565685623583,1.6207220684625987,COMPLETE
279,-0.5812345821492462,2025-12-04 13:36:28.504964,2025-12-04 13:36:50.459282,0 days 00:00:21.954318,0.8814743423634063,0.46858663127662786,0.01300507808358538,8,6,8,417,4.041554816276365,3.0162984264515598,1.200705755446597,0.6438175267320683,3.501852780059995,0.5128448204333382,1.6188881319469033,COMPLETE
280,-0.5999801896915218,2025-12-04 13:36:28.635567,2025-12-04 13:36:49.815659,0 days 00:00:21.180092,0.8743830619636528,0.4609243891708685,0.0887633338027219,9,6,8,416,4.0672689980252645,3.1018397777397895,1.1959089805924967,0.641179741649763,3.507573768140938,0.5123257686585755,1.6205753171909723,COMPLETE
281,-0.5994971722126095,2025-12-04 13:36:28.688805,2025-12-04 13:36:49.569980,0 days 00:00:20.881175,0.8794739179351095,0.44908776228573993,0.08636046619040144,8,6,8,417,3.9823087493779465,3.089634974726123,1.2058969579465615,0.6442936789984146,3.5037170047164934,0.5091792393843384,1.8220915192415412,COMPLETE
282,-0.6008343552688752,2025-12-04 13:36:28.843334,2025-12-04 13:36:49.692670,0 days 00:00:20.849336,0.8792249854405659,0.13818540489745224,0.08730811688524052,8,6,8,417,4.0424455734244,3.039221105074412,1.1931930871740544,0.6426384371119772,3.505759304020639,0.5103779200377271,1.6315498962461208,COMPLETE
283,-0.5998005174825094,2025-12-04 13:36:29.233856,2025-12-04 13:36:49.772064,0 days 00:00:20.538208,0.8649687057870621,0.017822167048042438,0.09086763412746614,8,6,8,416,4.035564932733362,3.025621098179575,1.1977636203648658,0.64139672129915,3.5032724794741696,0.5182651993050704,1.8268632482298346,COMPLETE
284,-0.6013841772570633,2025-12-04 13:36:29.530755,2025-12-04 13:36:50.240491,0 days 00:00:20.709736,0.8801611278288032,0.13185364843862207,0.0871294689905325,8,6,8,418,4.065748367986232,3.0832265401861187,1.1794352069138219,0.7223025838569649,3.507583823508971,0.5146654649669128,1.6170673446423633,COMPLETE
285,-0.6011777097147978,2025-12-04 13:36:32.173867,2025-12-04 13:36:52.970121,0 days 00:00:20.796254,0.8866382576468393,0.01700771477789159,0.08731367676173506,10,6,8,418,4.260628426347358,3.0899251885358803,1.1937577671429125,0.720478963354711,3.510757838714282,0.511928578733174,1.6169707016541608,COMPLETE
