learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,weight_class_0,weight_class_1,weight_class_2,value
0.05274614128885775,265,7,2,0.6235132099903955,0.6165324940946828,4.50091705363317,1.8130062044889732,0.02632756394046254,4,0.579633748730668,3.520621756576845,0.504172320583257,1.9336690943515933,-0.5927973572190894
0.04139247116309448,266,7,2,0.6262026736793325,0.6171403301528384,4.422923045953604,0.41978413715581375,0.03519458359205585,4,0.5960435584477879,3.534574650290549,0.5394766881210502,1.629370776697451,-0.5963234384538977
0.05369031875239564,409,3,2,0.6256484939788742,0.6174013599350244,4.075730824153367,0.6832903123141215,1.5399953428098576,4,0.5819197852170006,3.510360095849335,0.6135361122299228,1.9256200640244174,-0.5825248381788685
0.07950814633368167,409,3,2,0.6175454974045489,0.6187723755750683,4.1171115967127605,0.3902187560392585,1.4867642656573767,4,0.5904534661458106,3.5191607956989355,0.6195670212654377,1.9240853339509405,-0.5895265533930574
0.07582204724288229,411,3,2,0.6162489243379105,0.6106111685772859,4.004201051143936,0.42373573790419233,1.3949343375518328,4,0.5862961908538739,3.518645882233719,0.536269143943841,1.9487130882413626,-0.5872859599282938
0.05356017798424492,395,3,2,0.7651599035535432,0.6336844781944811,4.180507984076456,0.43173917872972845,1.5165013883791285,4,0.5909812334331656,3.088347497613257,0.6237067790921755,1.9267810978840194,-0.5728557291133011
0.08027499730270425,404,3,2,0.620506786114926,0.6144817809450503,4.206259373064035,1.8993198667821596,1.5392949035347747,4,0.578773404306662,3.0865777764896327,0.628801209299198,1.6576228945406286,-0.5870741433603421
0.07847080105074962,265,3,2,0.6244548606079979,0.6129992816123779,4.108331968985136,1.8908365933660043,1.4312451267391193,4,0.5909507140347556,3.0639065249969386,0.6231114998273545,1.625818317916258,-0.5810851220482144
0.07633220214004602,406,3,2,0.6272968178880166,0.6161402391230366,4.12595972949078,2.000111396381175,1.4548428375297449,4,0.5770105964567201,3.0912839674668176,0.533615350812458,1.6412281698270714,-0.5891859146831206
0.0966130940020464,401,3,2,0.7311054611572806,0.6177894971698682,4.039119714510922,0.29137718685803327,1.5396553214612014,4,0.5753580965854832,2.89875627782468,0.534183682087145,1.9379332965403955,-0.5822482790583803
0.09270956488380201,409,3,2,0.7437759439962349,0.6140956940926493,4.098201324905698,0.6637101899459898,1.5166427353223264,4,0.5823185226811034,3.4303140060151094,0.5364188644168947,1.9511783019892,-0.5891933019409772
0.093407089233775,409,3,2,0.7297706313164835,0.6200642935576265,4.041229660522909,1.989843529186714,1.4929719932563772,5,0.5592009048950642,3.4278094776254098,0.5361440841692209,1.615244701527044,-0.5917267069654902
0.09861231945701944,405,3,2,0.7637990572735375,0.8137978357940945,4.097797796007597,1.9714360067363348,1.7769318446139302,5,0.5796628586167359,3.4339326675114346,0.5370603978627063,1.6266209252028794,-0.5925406975484073
0.09494839304954247,405,3,7,0.7366616037678083,0.6136848270337836,4.077406671130263,2.9984760384895552,1.7922876467269067,5,0.5625109290307502,3.4415426718503874,0.518547268495344,1.9404297713021004,-0.5885493751902172
0.09380223122599098,409,3,2,0.7336509246488507,0.6231443590697513,4.150355098212496,1.9148534924833358,1.811216515170252,4,0.5774322756033456,3.427721340135896,0.5139385919498396,1.9439935035170957,-0.5905707825911696
0.0937206158843974,413,3,10,0.7318451340213059,0.6160901261765818,4.106228850263202,0.37615685204031424,1.5297524510298088,5,0.5733663423469921,3.4180830638184294,0.5140008859517157,1.6090663159879717,-0.5904196979015991
0.09394522132621845,405,3,2,0.7324127255591614,0.6212935416255427,4.154002043817465,3.8262145770968115,1.5384186431710967,5,0.570990576621476,3.567379133567149,0.5371383010090771,1.9358714706394398,-0.588980891705857
0.09499299494471206,407,3,2,0.7451201820885608,0.6297714531085183,4.183854037488523,0.3144600706625773,1.5276608210481606,5,0.5834514975834469,3.4198157445206694,0.6139131742395959,1.5708125963615616,-0.5913878287404425
0.09497037995680543,411,3,10,0.7416253517549053,0.6230287713411268,4.119762139452156,0.44830506968627226,1.8229474899944254,5,0.5786047278842162,3.4203184989482796,0.615456292429037,1.6275316120142316,-0.5922422185015471
0.09439181768541056,406,3,10,0.7426130750361603,0.6149274470064766,4.214165161591366,0.47181030451994793,1.8273525830721697,5,0.5586861118247872,3.4152833186800473,0.5184739046404089,1.9320584190018388,-0.588682877390677
0.09683841057002612,405,3,10,0.7324566794553039,0.8086772740942739,3.749848794878228,3.0704339238261955,1.8246989325622267,5,0.5506203681087128,3.39615951906728,0.5352834861756378,1.592998625225517,-0.5923122488884304
0.09657686162910549,401,3,7,0.746032496654298,0.8130124702628936,4.179907815486467,0.3496762075270046,1.8005951436830332,5,0.5505051375597035,3.568549713839292,0.5341478676601329,1.5925574479123052,-0.5911349387458505
0.09542254619346666,405,3,7,0.7297828385794106,0.6245831383209148,4.204279417161979,3.076923253864579,1.8256193706959727,5,0.5549138099201978,3.4218596473483176,0.53515451708708,1.6030093705912007,-0.5912571113934323
0.09734298713392177,411,3,7,0.7294625725650098,0.6244153728267574,4.18893955131346,2.949238611983807,1.8055376552688918,5,0.5539944182357485,3.427784065487588,0.5347154502125406,1.6381671818857253,-0.5937551868358785
0.09557228811062975,394,3,7,0.7316240522791204,0.6266831230579714,3.581982884756839,3.70847076795953,1.8518205499020168,5,0.5574201537243983,3.4266140720651057,0.5655281601660567,1.9961512053859205,-0.5896519600718356
0.09513653814345063,411,3,7,0.7346409626398575,0.6255640603824192,3.4939996359855194,3.6029889450609933,1.767766495378945,5,0.5463377114119696,3.4134564057865036,0.5380502731186562,1.5780695615130291,-0.5916456285893121
0.09405931738650843,436,3,7,0.7411055416668644,0.6273537601452283,3.4807957966787204,2.9474623621177303,1.7824700884446483,5,0.5519641531674405,3.411859662215523,0.5641768432085182,1.5782983517006306,-0.5929013800761144
0.09487321459938587,388,7,7,0.7320884002572557,0.6249754883520653,3.6918553972530077,3.0096233903223903,1.7983457720369855,5,0.5566186358044549,3.4100762125425113,0.5359649276610514,1.772125886018122,-0.5979544520336445
0.06970965208080707,440,7,7,0.7411427226835752,0.6228019015529795,3.721563476457377,3.052213310988864,1.7947049142384663,5,0.5422034778081593,3.4227755697121487,0.5636507562738287,1.5511813786250408,-0.5980489658255538
0.09974627665310744,440,7,7,0.7327994535674646,0.6266376919208139,3.47816080484986,2.9748647192349322,1.8557801843380268,5,0.5660009351721691,3.428987173747727,0.522417289313858,2.003562228805071,-0.5969694899977308
