m1 m2 m3 a_pc e b_pc phi theta psi f v_km_s Ecc_Anomaly t_coal_yr OUTCOME MERGE 2gBBH TRIPLE
37.52246101796488 29.701697535920392 100.39722996605816 0.0003480344351022 0.402669438278 0.0014915946461598 2.46334134289 1.5871300817808165 5.54954267338 2.847546916727333 9.0700836097163 2.69528298476 6.017455433930923e+19 2 0 0 0
74.2490765427494 38.38200066151042 71.09109789264998 5.551718952378133e-05 0.430995936233303 0.0001417052998178 1.995397942070163 2.18602196185064 1.1166728791239864 -1.396503478169396 8.115601120375844 5.30964524182491 8216995029509690.0 1 0 0 0
44.16805067313115 27.879479086867228 120.22438751307196 0.0002966685341245 0.611365498745803 0.0066751411137662 4.44907707105537 1.4484307167152008 4.614146034245267 -2.7701921876591418 3.127974781752356 3.8723137346096337 9.689756688691888e+18 1 0 0 0
45.90560531667048 29.949105050744247 64.29518683581642 0.0001183916659226 0.5053726487 0.0017064911190126 5.87384534755 0.6565402532279321 6.00132768125 -2.882221870730713 4.067073527685996 3.589014814 3.817200658839928e+17 1 0 0 0
35.25241974085737 25.09015228682613 81.34687363959381 0.0001161028290908 0.6680245641638723 0.0003801177859235 2.512025053300852 0.4582651046221718 0.4177518793354899 -2.722378539394275 5.817880545281104 4.031503592967056 2.4752595907002445e+17 2 0 0 0
46.836678664094606 36.946936833110485 68.90835930765473 0.0003895980634933 0.8301537113018521 0.0019272817944717 1.13905195539164 2.168895505767299 6.144937732595651 3.10443874346984 5.923085784858243 3.019768708385527 1.6368763135719972e+18 1 0 0 0
32.80472059254817 30.088575970735025 71.00910049530584 0.0444969287166594 0.699565219817 0.0179514391395249 4.41239705959 1.7755183841138438 4.4820918512 -2.5905373197122974 9.484084046023275 4.32555828278 3.4802093616619355e+27 0 0 0 0
52.86547971381264 24.320765277205783 64.8457653373267 0.0001340903057321 0.877499151438 0.004456733111758 5.88406145474 2.337556059964252 0.236938202802 -1.3224182280476495 2.470678275155407 5.89081905968 1.222170110079554e+16 1 0 0 0
34.749567213835505 18.81546022335811 63.9420658089861 0.0004821473909237 0.6476940789456024 0.0016797204449747 4.532912154818455 2.316979413791053 0.9015880720359836 2.829975377494683 10.15355993787114 2.486641304800287 1.318861749404737e+20 1 0 0 0
78.57920546815438 15.182047547186777 62.365057752578885 0.0009482106416726 0.155721587790849 0.0037786917665605 6.236260582708381 2.3913064826036186 0.3917374703843941 -0.7085170000706706 5.515873967210859 5.670821313280612 3.8386608973099376e+21 1 0 0 1
38.05912628397178 25.87449429061777 76.93914891096003 0.0008559714977408 0.460032574815 0.0034605078656133 3.76472103847 0.7237821949641648 3.43037054935 2.812476130449621 7.209111685837838 2.6084643025 2.1120199827758373e+21 0 0 0 0
66.43093427775337 31.888266142901944 61.37349026289543 1.7083094148782811e-06 0.16108026689 0.0001342493009566 2.27326898134 1.6080979098806358 3.23373653902 2.0702321221747484 2.02215905191001 1.92241812171 21582388046.42281 1 2 0 0
14.670270341786484 13.599537299379122 68.49033836067133 1.8242365514918496e-05 0.270283268093 0.0002693978140339 3.54369318274 1.851756342862304 1.07486691967 -0.3727788448116434 14.36611958097959 5.99925150815 8661558129060610.0 2 0 0 0
47.68826088725682 35.73551038178696 72.8376851376725 2.270418700710996e-05 0.891164298491452 0.0004727127257269 2.9740388813821905 2.287897221619278 4.6760876252358905 2.9093757120007684 2.7063237571066203 2.236525062704459 4834975114009.741 1 0 0 0
29.61352161638741 26.1141345547748 86.87817787233097 0.0001201006802835 0.8739645607389066 0.0029749854876297 2.8396731166987483 0.9790489613846548 6.023048255277026 3.10636197725076 3.277612925807391 3.005938360700384 1.97975690678958e+16 1 0 0 0
44.15787509468208 22.34078063516169 64.8339172770747 0.0001148555064258 0.95003804245 0.0012538535363001 3.27657504933 2.192765378872194 4.20396109009 3.095718359550405 7.690286117259461 2.85688455449 559221824144023.9 1 0 0 0
29.538493621145463 12.737248613689731 63.13725586619769 0.0001231508346254 0.443065925775 0.0012421789427502 3.70678147307 0.7876412499881353 2.92259062771 -2.7926660580705818 4.606935625752915 3.69449420483 3.8338547529868175e+18 1 0 0 0
132.95148076346612 24.659027939349617 80.6107443260189 3.811010946387579e-05 0.926490638852064 0.000347862626658 3.54459388932958 0.2270113640909397 0.1117089374867487 -2.8780894640914148 9.171320265893502 4.333767485222779 3018814732687.6294 1 0 0 0
