number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
66,-0.7209984958238581,2025-12-07 14:58:20.959082,2025-12-07 14:58:48.786108,0 days 00:00:27.827026,2.9460158899227196,0.8087841290958171,1.1399891691661845,0.09707308828572023,5,9,18,381,3.3170670677581557,0.48003107967114556,0.5307028599050296,0.8039395329404226,0.5161280923393835,COMPLETE
67,-0.7198062089433113,2025-12-07 14:58:24.423922,2025-12-07 14:58:50.883796,0 days 00:00:26.459874,3.0045716206561814,0.7979434425887991,1.104429742592182,0.09682570328040538,9,9,18,374,3.4172521496582915,0.5020681395856983,0.5249669469474448,0.8741479806003207,0.5227640655107257,COMPLETE
68,-0.6929291177621595,2025-12-07 14:58:25.575053,2025-12-07 14:58:52.616539,0 days 00:00:27.041486,2.987269327602527,0.8024109361205476,0.42200846789982316,0.09764069919216779,9,9,18,406,3.9542294096999995,0.5271015130408274,0.5076572043877096,0.8738629117952805,0.5913462046863843,COMPLETE
69,-0.6972007049255355,2025-12-07 14:58:26.967350,2025-12-07 14:59:21.796243,0 days 00:00:54.828893,2.999420604056194,0.7992125915466484,0.3769890334810628,0.01825195040884498,9,9,18,380,4.164631544097663,0.45649210815184904,0.49721814833038225,0.8832749472670227,0.5866772068317782,COMPLETE
70,-0.697579798129208,2025-12-07 14:58:27.328844,2025-12-07 14:59:04.084305,0 days 00:00:36.755461,2.9902630986856504,0.8031151345126235,0.4155173389396798,0.017625916392684324,9,5,18,382,4.06366218672728,0.383833670135166,0.5092295741761094,0.8680322283842298,0.5917308083312532,COMPLETE
71,-0.6896846086841425,2025-12-07 14:58:28.838343,2025-12-07 14:59:04.576754,0 days 00:00:35.738411,2.9248163149341786,0.8077072171190061,0.474202772124809,0.02908184905836383,10,5,18,379,3.8316322228741724,0.4085170269383702,0.49555804384185115,0.8810817296004861,0.5893422362276313,COMPLETE
72,-0.7209582358692446,2025-12-07 14:58:29.267284,2025-12-07 14:59:30.468850,0 days 00:01:01.201566,3.0441696215688276,0.8017329881370514,0.44093153306836597,0.017772222233661667,9,10,18,369,4.093416973077552,0.41200902300589876,1.1326313294214587,0.7803392666879755,0.5840311973514477,COMPLETE
73,-0.7189524231533232,2025-12-07 14:58:29.574820,2025-12-07 14:59:02.951110,0 days 00:00:33.376290,2.9303646044226297,0.8015660003538939,0.44544289019055877,0.029351651606975594,5,5,18,351,3.894419117683743,0.47543153947103123,1.0840082732246488,0.8825628463745052,0.5982019502824094,COMPLETE
74,-0.7185660095097137,2025-12-07 14:58:30.662426,2025-12-07 14:59:10.784111,0 days 00:00:40.121685,2.963395414821246,0.8017467467700032,0.46978240555508005,0.067600747660051,4,7,14,377,3.9585983575205637,0.488220614704016,0.5198723872356135,0.7829639729275355,0.5311281993034305,COMPLETE
75,-0.4207206676537151,2025-12-07 14:58:35.970113,2025-12-07 14:59:15.677138,0 days 00:00:39.707025,0.9827328546422249,0.7655958675157006,0.4440285726529998,0.0639333345953554,9,7,14,363,3.9056068601787994,0.45841946972460307,0.5391835299600674,0.8889469836446822,0.5283002253807758,COMPLETE
