learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,class_1_weight,threshold,value
0.022696181189652723,525,7,20,0.7287269737505991,0.8390030576219674,1.9841531602630762,1.527164829991621,0.9872488037802571,0,1.3122121984806558,3.647059373033116,0.3204838579589552,-0.7120569346219396
0.021237273197818284,521,7,20,0.7275693550670332,0.8227977205663768,2.9609309752305077,3.6095014788625868,0.9862859358371718,2,1.5232054930300059,3.56705899707749,0.3202050635372086,-0.7114722185023449
0.025295398544633856,468,9,20,0.7388351891922285,0.8504717157061613,2.9910702112366407,1.1413089854500849,1.001557132584038,6,1.3360532820936135,3.367253726303057,0.4775632248917929,-0.7169312454741372
0.02474325264979202,483,9,20,0.7379813784271336,0.8509507693721877,2.9533974574283173,1.0010704054132604,0.9368571373339997,6,1.333290211700294,3.6405569612610673,0.47313323591126233,-0.7163906633859278
0.02237024871790756,463,9,20,0.7445341302841131,0.8491624141639057,3.036195459714703,1.0155396990746532,0.975669563435995,6,1.356789288861955,3.569564894153908,0.48638646256283874,-0.7165093493864203
0.02354873913854132,689,9,20,0.728393183387359,0.8427931031585251,3.037734258901552,0.933017908887185,1.00043057945099,5,1.4315557342235539,3.6070732297021664,0.598118970583686,-0.7198484012173292
0.024910798084068483,503,9,20,0.7259981179079603,0.842214501387645,2.948997122230202,1.0904125797034137,0.9481569515705774,5,1.4845226441790293,3.6060856939322816,0.4948119028656547,-0.7164618603812987
0.025762811442466758,441,9,20,0.7302959196915616,0.8505325438657708,3.078246798955533,1.1205847896212746,1.0346514940806646,6,1.4251001996602939,3.5638550369449904,0.4960168799941497,-0.7168322440093093
0.09621044860630606,446,9,20,0.7957103189506565,0.8390723082843262,3.0340198567156964,1.091937593644288,0.947060901427023,6,1.3692160620703722,3.172342169055127,0.5965587016427618,-0.7204768179472153
0.02587051703617058,463,9,20,0.797405882573573,0.8519797105799216,2.9924162517506323,1.107629690249404,0.8789655217618493,2,1.5233788659911807,3.670801902233489,0.48358910823502166,-0.7162684227757712
0.027410439326081032,406,9,19,0.7981422017270485,0.8465991875611136,3.010404312573797,1.3375472967708792,1.3905986722873347,6,1.4469029494555505,3.61691662740485,0.5974851000786683,-0.7195762798223928
0.096467103250446,422,9,19,0.806469410584329,0.8421854204204872,0.04827053952016902,1.0524457834086052,1.5039454769419578,6,1.4397814390327313,3.7289309524642267,0.4887552567480555,-0.7169511482888578
0.027102276803880374,437,9,18,0.7379570820238064,0.7309958447420368,3.2515105613038098,1.0517070271184814,1.4323742285477554,5,1.5540806741074498,3.717052549170772,0.37131065732560986,-0.7132440857772796
