number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
376,-0.48958164409096794,2025-12-03 23:42:29.260021,2025-12-03 23:44:34.793063,0 days 00:02:05.533042,0.9623297469372305,0.6395466771812909,0.021022558456982327,10,1,731,0.9300174384082981,8.595548676311445,0.8317483706671179,2.563381417299089,0.5774719580330202,1.6873940606445623,COMPLETE
377,-0.46403108477588556,2025-12-03 23:42:31.082055,2025-12-03 23:43:03.323785,0 days 00:00:32.241730,0.9682207613349981,2.8375479340319174,0.09787487604864001,10,1,710,1.102523067213405,7.091947102104922,0.8616579705469607,2.676273566304801,0.5782097109420369,1.6822394366006124,COMPLETE
378,-0.5325267974280311,2025-12-03 23:42:31.417448,2025-12-03 23:44:45.539780,0 days 00:02:14.122332,0.9669109633962296,0.18115910573493751,0.10072619730452807,10,1,732,0.9715071657368437,8.48769960013114,0.8342319388791843,2.5695104567425266,0.5792675202453227,1.665185094383195,COMPLETE
379,-0.5299169089319659,2025-12-03 23:42:34.905110,2025-12-03 23:44:22.636493,0 days 00:01:47.731383,0.7748260526700002,0.17178444130720533,0.10104128492676741,10,8,734,1.0862213358999737,8.530609765363584,0.8867230200147472,2.5761312681134574,0.5801233079606216,1.446409234502932,COMPLETE
380,-0.5242365908856425,2025-12-03 23:42:36.234998,2025-12-03 23:44:14.456776,0 days 00:01:38.221778,0.7637435160147897,0.1763877999776876,0.10052263786312969,10,1,706,1.0583758815557425,7.719310471947872,0.9634356897182172,2.672094836706907,0.5802512514896064,1.5316277811688228,COMPLETE
381,-0.4549474692933863,2025-12-03 23:42:39.887307,2025-12-03 23:43:08.411450,0 days 00:00:28.524143,0.9680388468528491,3.8825539218244294,0.10069168634989005,10,8,704,1.1582159198052873,8.567175570638616,0.8309665972144865,2.6693822449637223,0.5800850537576456,1.68158118909093,COMPLETE
382,-0.5193207758746484,2025-12-03 23:42:42.440745,2025-12-03 23:44:33.141903,0 days 00:01:50.701158,0.8055556651077581,0.15518624523025626,0.10222745861623073,10,6,711,1.112175520523097,8.63705489990487,0.8864075319702426,3.18466280311968,0.5800225392241438,1.970379657584087,COMPLETE
383,-0.4676565340439125,2025-12-03 23:42:46.395283,2025-12-03 23:43:04.693654,0 days 00:00:18.298371,0.7678811149902438,2.7813911525471355,0.47118544672180535,10,1,730,1.764832976590616,7.725367214191374,0.9363374228917731,2.6712282121537836,0.5925098967522614,1.5338868338888203,COMPLETE
384,-0.5310755931925724,2025-12-03 23:42:46.801087,2025-12-03 23:44:54.849130,0 days 00:02:08.048043,0.9687524167266308,0.17555306593168235,0.10117624884807982,10,1,731,1.7780285093850228,8.463129713559852,0.8883063008619698,3.1089164323892278,0.5920519612595359,1.5224391473602883,COMPLETE
385,-0.498232017864251,2025-12-03 23:42:54.519417,2025-12-03 23:44:34.948094,0 days 00:01:40.428677,0.9342844750270619,0.19180888549017422,0.09283281702853062,10,1,704,9.986311067798486,8.508854333287527,0.9626344584268449,4.33344123902949,0.589922122919616,1.527101588936061,COMPLETE
386,-0.5210421934402932,2025-12-03 23:42:58.743749,2025-12-03 23:44:43.299921,0 days 00:01:44.556172,0.7743057094201927,0.17125832165656674,0.09319006775624201,10,8,701,1.7412854074702127,7.953706295917553,0.8898808138639648,2.667481918128833,0.5910941653688876,1.983779704099091,COMPLETE
387,-0.525128222693303,2025-12-03 23:43:03.325211,2025-12-03 23:45:02.074886,0 days 00:01:58.749675,0.7625529113482243,0.18003041571018444,0.0922540545028866,10,1,704,1.78713517554672,8.54572925621549,0.8331221334212559,2.6636010048828793,0.5904089779883904,1.533251190924275,COMPLETE
388,-0.5213676791356391,2025-12-03 23:43:04.694987,2025-12-03 23:44:36.353768,0 days 00:01:31.658781,0.7636178776742512,0.18387177236713875,0.10310081836985,10,1,719,0.007899362068269744,8.427913593844801,0.9694939347679579,2.879046062997157,0.5658985727598659,1.5292283047402782,COMPLETE
389,-0.5300271625134158,2025-12-03 23:43:06.104177,2025-12-03 23:45:01.240207,0 days 00:01:55.136030,0.8535146737462943,0.178139720056714,0.08964409509010278,10,1,696,0.014510281103802997,8.531362798021325,0.8879078298487032,2.6602000944308912,0.5655360295395534,1.5302291601132478,COMPLETE
390,-0.5228092949985345,2025-12-03 23:43:08.412632,2025-12-03 23:45:13.226459,0 days 00:02:04.813827,0.8530481343615804,0.16729346377019977,0.08695357251125016,10,1,731,0.056908511453938694,8.452697455748643,0.8881123764340759,2.672083441740504,0.5646262427660038,1.9835234555405536,COMPLETE
391,-0.5231551976268095,2025-12-03 23:43:09.454353,2025-12-03 23:45:03.901301,0 days 00:01:54.446948,0.7609180607452335,0.1728485195139878,0.09197792298652357,10,1,718,0.015474855597782273,7.953789594355807,0.888590729655267,2.6553429566304096,0.5663051893976863,1.9802621717407327,COMPLETE
392,-0.5235206833501416,2025-12-03 23:43:12.390067,2025-12-03 23:45:06.329808,0 days 00:01:53.939741,0.7638078555411799,0.19281808064021305,0.0922131370815571,10,1,718,0.0015949996578856415,7.975204839918825,0.8840861392791891,2.679567270381513,0.5660172444725451,1.9446451195985952,COMPLETE
393,-0.5307577576974234,2025-12-03 23:43:16.458541,2025-12-03 23:45:19.182584,0 days 00:02:02.724043,0.9332270719563737,0.1784099282443572,0.10176310823079791,10,1,700,1.7694841158755559,8.01824714646144,0.8880912665818674,2.8814133647086564,0.5662038690914044,1.5264971868301853,COMPLETE
394,-0.5135622691265095,2025-12-03 23:43:18.347325,2025-12-03 23:45:06.624222,0 days 00:01:48.276897,0.9293178675421192,0.1741619166168791,0.09372198428393318,10,6,732,0.00029188462386440985,8.028101415738627,0.8928782071782027,2.735237096236105,0.5657686564483966,2.497019418139407,COMPLETE
395,-0.5285561789135182,2025-12-03 23:43:21.836271,2025-12-03 23:45:15.502282,0 days 00:01:53.666011,0.8561639008631684,0.20376493734399304,0.0947282991288685,10,1,699,0.01542069160021211,8.043867567203836,0.8853949165752346,2.7333339235325607,0.590214107575933,1.9520275824346163,COMPLETE
396,-0.5281385907465376,2025-12-03 23:43:28.018226,2025-12-03 23:45:13.656731,0 days 00:01:45.638505,0.8503193754491607,0.17760073307703445,0.08987990278589648,10,6,724,0.10525975897993906,8.033656923657633,0.889543127256062,2.747582804071457,0.5896192528186119,1.5374369195587103,COMPLETE
397,-0.4706870983377729,2025-12-03 23:43:39.863324,2025-12-03 23:44:26.623159,0 days 00:00:46.759835,0.9706763190508737,1.659982338829145,0.08510675514662702,10,1,730,1.8107294652897898,8.00806231100222,0.8796153019553302,2.7340004643712885,0.5896923076509923,1.9830305778330675,COMPLETE
398,-0.4863718447174456,2025-12-03 23:43:56.287734,2025-12-03 23:45:54.049880,0 days 00:01:57.762146,0.7582747108065507,0.18114680983238354,0.022178023671165812,10,1,697,0.009703985321388579,8.040843763626635,0.883455418570061,2.7571282255244034,0.5650594083283895,1.5274144081129089,COMPLETE
399,-0.5236791971110327,2025-12-03 23:44:06.909202,2025-12-03 23:46:06.295698,0 days 00:01:59.386496,0.8505036654977901,0.16145137735114162,0.08897718924891655,10,1,699,0.015334406736780206,8.768002201375642,0.8868794108462588,2.900105500756179,0.5655937428608294,1.8808641442929697,COMPLETE
400,-0.5251832360480205,2025-12-03 23:44:09.419103,2025-12-03 23:45:54.527929,0 days 00:01:45.108826,0.8508490349755453,0.19221508613202506,0.09127195391025876,10,6,697,0.7819532692452169,8.01323729921581,0.8860187399691358,2.8824512296470792,0.5685428813144552,1.5304626078891774,COMPLETE
401,-0.5293976212731244,2025-12-03 23:44:14.457989,2025-12-03 23:46:07.581995,0 days 00:01:53.124006,0.8045962219351146,0.17149951282030923,0.08884999606713706,10,1,694,0.8173732786870984,7.959215719335776,0.8854492375635067,2.7323238426031455,0.5669526301804809,1.5348321562639808,COMPLETE
402,-0.5289400286517892,2025-12-03 23:44:22.637647,2025-12-03 23:46:23.089356,0 days 00:02:00.451709,0.9368690683696157,0.17269174057622638,0.09052054516163531,10,1,693,0.8110157231337538,8.852569610652546,0.8862325340661922,2.8891291804785344,0.5653447293119878,1.5250736337240038,COMPLETE
403,-0.5208921974251215,2025-12-03 23:44:26.624440,2025-12-03 23:45:54.236715,0 days 00:01:27.612275,0.9343498718537077,0.1595908937561386,0.09241993113393174,10,1,489,0.8022237114518311,8.767341359091706,0.8862619320470064,2.892745899606661,0.5656161763126042,1.5252604804719017,COMPLETE
