learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,weight_class_0,weight_class_1,weight_class_2,value
0.2347950106837224,65,10,4,0.5981700872872202,0.6052504921467352,4.1710090586880035,4.528620060309164,0.0023345796757139325,1.847725296056524,0.5523662222002644,1.4536657144093914,-0.500953442775535
0.22536538161714387,74,8,4,0.6084550607074661,0.5974004992646373,4.344772277297728,4.364945157862047,4.600617947827375,2.2353505209451825,0.5370328393826825,1.448824543110902,-0.4478670161094427
0.11064650577957237,66,8,4,0.6047811903638625,0.5963264524991527,5.161465661188142,4.438040419660134,4.635402567065414,2.2236076030885092,0.6223289006272147,1.4597237771550096,-0.481880469045642
0.2391298952690397,591,8,4,0.7458911863434738,0.5348880819544058,3.8391542903279317,2.1490582308646538,4.519147894772793,2.160523032317946,0.599405866606833,1.4502975277481887,-0.477353448338224
0.23549330242547384,252,8,4,0.6112533561284962,0.8976599615924221,3.7343528017763377,2.1806675395142125,0.025988855895936247,2.1858014100859045,0.5280699965846121,1.411704782918739,-0.505078783003665
0.24277469328233944,253,8,4,0.5898080129690151,0.8642296539461919,3.598945052922097,2.239504205057162,4.511099050864427,2.2056799207499136,0.5361483421351018,1.4070751668310666,-0.4610851283751458
0.22680865498924277,254,8,4,0.578712649820605,0.5337610279585459,5.116151205075958,2.2581380277650727,4.5309298613041955,2.1087086671013124,0.5298065353430396,1.3131403264509574,-0.4621036964082362
0.225445337326671,270,8,4,0.5835426816605874,0.5365301369461323,3.6436885696611867,4.581810352668663,4.519569621411199,2.1304229628221614,0.5304695575099616,1.6948987282573023,-0.43895033447924997
0.30019294430446253,264,8,4,0.5743644008538741,0.5433675778932199,3.6176953980104765,2.0877866139882197,4.441081708949968,2.082086177748603,0.597264798598232,1.3084284642069575,-0.48711918557008294
0.30064608260614833,264,8,4,0.5717098120610177,0.8903653464409927,5.193654172933569,2.1155234245677716,3.987068504235208,2.0529923873287483,0.621835643727828,1.6851637557159245,-0.48259858002020256
0.3369717454146399,111,8,4,0.590595222389426,0.5391812109739537,3.4361484047371285,5.298638252832929,4.463813499512343,2.1125991829926436,0.5234699732766936,1.3081052430817601,-0.4633665280887678
0.32076590236220515,118,8,4,0.5883420526275382,0.5387096158381827,3.3415979011886447,2.3775471579232477,4.410306595853536,2.077037509126276,0.5189903165720514,1.697500040764377,-0.4391458818973694
0.3104717992553699,125,8,4,0.5790056469909152,0.5398475252023518,4.877776197809422,2.2454975210426134,4.456896312826995,2.090815812207178,0.5233558649725054,1.3057679882623094,-0.4635802191903662
0.3077388897296688,119,8,4,0.5564069421613462,0.5427944719172119,4.869346003434182,5.5096455835914435,4.517755720964605,2.1124266964736016,0.5984268282240464,1.3066370269292853,-0.4887103370404045
0.301034883564984,118,8,4,0.578902595601746,0.5434377308216265,5.081146767718176,5.161590204819354,4.4337480106303016,2.1452045164011606,0.5259524904139724,1.7008189168853796,-0.44098976740939805
0.31419903497561047,291,8,4,0.5612020082435158,0.5871038203276946,4.7908444234443515,5.444388161144818,4.483432322079635,2.113298474784797,0.5995049538539009,1.690866249036947,-0.4676873170902054
0.31319367963620437,125,8,2,0.5788908725275742,0.5817819710163569,4.9788261923428605,5.364423898047624,4.5035931910862805,2.088363530766552,0.5999949233221883,1.3041977040701576,-0.4885147931577147
0.20717862873545148,124,8,2,0.7406528319717395,0.6278308354466217,7.990511721598005,5.100889428279491,2.214356599388901,2.1139573710319666,0.5943169403326944,1.3103476276978214,-0.49517407927747037
0.08749150019276433,117,10,2,0.5855370047944933,0.6306447280772554,7.224973128945249,5.413235043922547,2.4121462350730067,2.1048852134369387,0.5954051420142449,1.3343363896987896,-0.49275888552490654
0.3188903324122962,110,8,2,0.5842170750553078,0.6348962713294685,7.937310013128273,5.22775807190958,2.5862734406784793,2.1130636965316816,0.5229472418645194,1.3126619392826353,-0.47068507247873975
0.3262050736409717,112,10,2,0.7348520546442312,0.5733641537064448,4.89536842035369,5.210094887219305,2.5234287368329715,2.134042213004272,0.5250472765443526,1.2999857875666347,-0.47315821680076436
0.09372079609191421,609,10,2,0.7542816143732954,0.6273244035828117,7.073676756331522,7.140141092455462,2.2780128916829265,2.0922828920398095,0.599523753385262,1.2973764230660592,-0.5008871659673972
0.08975804730380499,639,10,2,0.6684923088237222,0.6228607645097441,4.812900478811384,4.73431593637317,0.19357917487972975,2.3493285019143326,0.5990908582035958,1.2918355163734638,-0.5256716585111215
0.20558015457635487,627,10,2,0.7344571754508057,0.6279869190228393,4.818481913420643,0.8372487581015463,0.16734879601096,2.3339036883925655,0.6007898124931821,1.2938431125350671,-0.5221110976164308
0.09473057484888943,629,10,2,0.729542947140019,0.8896786623805625,7.249765053902758,0.9715194378305474,0.09556905681459482,2.3984870930230366,0.6026834792534987,1.36002775383927,-0.5266155577078361
0.06391491191587258,622,10,2,0.7441401024779104,0.8941486654532796,7.231624631137729,0.913027709686264,0.17877333915379728,2.3198696065427287,0.6004777473619518,1.373126585392856,-0.5242044292117289
0.09175961797874216,625,10,2,0.743843612943882,0.9120586983112816,7.090597152540534,0.5322881682792021,2.4164997236707135,2.3440905378906565,0.6004105875006598,1.2708470981510727,-0.4945842090851511
0.20443933437438297,631,10,1,0.6686861249983864,0.8970094003614271,7.267883649032227,0.5895962722750777,0.058668897526835684,2.3543107808888695,0.6044886910218435,1.3770652654695936,-0.5240869059346251
0.08927171167242984,294,10,1,0.6644608304771444,0.8948945175016063,7.088974589496413,4.7661633505234935,0.06034354350527682,1.9588566133733791,0.6065183442213917,1.367596414836595,-0.5283965942222258
0.2037859709789674,646,10,1,0.6658188717698355,0.6300825166200362,7.203997030045159,0.5025979605416735,0.1235567712313954,1.9403126961679193,0.6071954405170162,1.36438221695999,-0.5250058954117142
0.08135452498829884,608,10,1,0.6624026452119384,0.6216266434157062,7.26662511513526,4.789995039478414,2.2810224759940043,1.9475179108001583,0.6070774734144871,1.3804279449106733,-0.5055205858980225
0.08907648237598115,622,10,1,0.6584383389350758,0.6312063418880038,7.287842812127392,0.4232023921548649,0.18275315540958215,2.338393963432349,0.6056487756289151,1.367651585250087,-0.523291044336065
0.08831835233447827,619,10,1,0.6598999699805193,0.5168899594570638,7.165805839041958,0.4225294012258367,2.2688668087585313,2.3327407835544203,0.6057636591068724,1.3772173061652846,-0.4861851617199829
0.10118988470005728,596,10,1,0.66995329817219,0.5156630403208005,7.18715971206831,0.6348210762076231,2.6155554503594445,2.318871646218935,0.6078441957191801,1.3726879846058102,-0.4841477447837755
0.08889721597963537,610,10,1,0.6673903352177234,0.5158113031869682,7.171645786687383,0.5235993582738903,1.4722114080092252,1.9485466400829612,0.604864542265545,1.3690778667248273,-0.5100693366283431
0.19841579441416266,610,10,1,0.6588985057526416,0.5185859356994147,7.304613827044795,1.0858754247656224,1.0928623518016802,2.3085124554053653,0.6057933786309846,1.3796778071729248,-0.5070981957468671
0.19643418629664963,624,10,1,0.66201925518163,0.6935251773675779,7.043971285481761,0.9133037164874681,2.0938672273949015,1.9426826008725795,0.6032316292082225,1.3759800260814499,-0.5080972015078628
0.19758432001530496,576,10,1,0.6633200830926788,0.515487935858057,7.338962757268706,0.43873641276264863,2.266079054326965,2.3583120031160667,0.6086102018358452,1.3658382753623397,-0.48790288222570827
0.1991857064746022,589,10,1,0.6623443520724241,0.6928245452429924,6.239918920200656,0.984509293766898,2.188456220309872,1.9435716112782375,0.6072327433270897,1.3761122240299484,-0.5084451063109202
