number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
199,-0.7077116601455428,2025-12-07 13:28:34.137743,2025-12-07 13:28:58.100105,0 days 00:00:23.962362,0.8419094703411276,0.2987622007279276,0.065531458808325,6,6,10,471,4.93821671924788,2.0173088960592884,1.715732650445365,0.8389564723009381,1.0787958653450256,0.8956731083232023,COMPLETE
200,-0.7095830615358812,2025-12-07 13:28:34.229462,2025-12-07 13:29:07.687789,0 days 00:00:33.458327,0.8283296833299787,0.2575591760260584,0.06514847265619018,6,6,10,676,4.640915419774885,1.1820197971979907,1.6985316306839795,0.8564973523215371,1.1706844579135138,0.9620121652694373,COMPLETE
201,-0.708682090928046,2025-12-07 13:28:34.777063,2025-12-07 13:29:00.335145,0 days 00:00:25.558082,0.7469503475867537,0.2710574144954821,0.06508922384684715,6,7,9,453,4.341391504809339,2.6745166775183145,1.671341817868935,0.8578263632407196,1.1876006134978323,0.9617112704155993,COMPLETE
202,-0.7092890771602717,2025-12-07 13:28:36.294784,2025-12-07 13:29:03.096932,0 days 00:00:26.802148,0.7676209394170469,0.27013624080882226,0.04350249083143143,2,7,9,469,1.5321351583230103,1.200154578133843,1.7111174926142156,0.791280763569141,1.168710985200996,0.8874939766890341,COMPLETE
203,-0.590882582093533,2025-12-07 13:28:36.889205,2025-12-07 13:28:41.305116,0 days 00:00:04.415911,0.7675032488552314,0.27333145273743725,0.05782736951966164,2,7,10,674,4.972179545102873,2.661000932085134,0.9713006757965468,0.7466345311434328,1.0755610347947888,0.9612868208328454,COMPLETE
204,-0.7056583362221671,2025-12-07 13:28:39.224202,2025-12-07 13:29:03.131445,0 days 00:00:23.907243,0.7663964116217371,0.9211567318267196,0.0387104369545836,2,6,10,462,4.312289695284238,2.068858753023524,1.6785609798905519,0.8560173346567277,1.0740021612213497,0.879610957976431,COMPLETE
205,-0.7064839429699066,2025-12-07 13:28:41.307996,2025-12-07 13:29:11.150252,0 days 00:00:29.842256,0.7653513599358573,0.9986215633439247,0.03927886933126078,9,6,10,592,1.6041976071706705,2.1100306061470517,1.6605818664497598,0.8611147968594004,1.1644889604814466,0.9810451780618789,COMPLETE
206,-0.7078636240969672,2025-12-07 13:28:41.564152,2025-12-07 13:29:05.070720,0 days 00:00:23.506568,0.7655164629084308,0.33638595419457185,0.06556086497006007,2,6,9,461,4.309471538426072,2.075176400837605,1.673900227264266,0.8400634872925694,1.074681152889613,0.8825655375990719,COMPLETE
207,-0.7077941829158321,2025-12-07 13:28:43.606171,2025-12-07 13:29:13.127246,0 days 00:00:29.521075,0.7663457923327675,0.32251021400141044,0.06444418094706639,2,6,10,596,2.283112512617151,2.0568244911920477,1.7280472957396362,0.8432294697078191,1.0811640195137149,0.8711845653025928,COMPLETE
208,-0.7095264624602274,2025-12-07 13:28:44.326668,2025-12-07 13:29:07.415794,0 days 00:00:23.089126,0.7993265603220922,0.35671409807253635,0.04244220927003043,2,6,10,445,4.6364127166488025,2.049516500398721,1.6961824213546508,0.8376624891135659,1.1800893033529865,0.8840903620354402,COMPLETE
209,-0.5982896560038692,2025-12-07 13:28:44.755036,2025-12-07 13:28:48.958269,0 days 00:00:04.203233,0.799597258129342,0.9264056440096622,0.03850796354731104,2,6,10,464,4.275941779601352,2.064229492432192,1.0818083925499793,0.8390599791255293,1.0828556125859679,0.884348353426365,COMPLETE
210,-0.6891293217975006,2025-12-07 13:28:47.310667,2025-12-07 13:28:53.825171,0 days 00:00:06.514504,0.8195520815301091,0.8581528584246791,0.06415834590773854,2,6,6,531,4.663226618191907,2.0718302355370843,1.24729389441835,0.8416264797610241,1.1542095912072774,0.9801114049195226,COMPLETE
211,-0.7088536025277796,2025-12-07 13:28:47.354100,2025-12-07 13:29:12.013558,0 days 00:00:24.659458,0.7659415710121631,1.0411415455154378,0.04044448194619049,3,6,6,471,4.623351649915981,2.0764816699090947,1.6985045083530763,0.8620536308923524,1.1685927609518625,0.8740156726963293,COMPLETE
212,-0.6011588603346616,2025-12-07 13:28:48.961358,2025-12-07 13:28:53.069339,0 days 00:00:04.107981,0.819847462652314,0.32991228131118644,0.057629313552744296,3,6,6,445,4.137196777179613,2.389670472627938,1.3344419179737446,0.8267353544067496,1.2040670330480077,0.8645447495744458,COMPLETE
