number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
78,-0.7268335571095152,2025-12-07 14:18:53.353537,2025-12-07 14:19:27.253231,0 days 00:00:33.899694,6.289597493433894,0.8347872796195395,0.3442260960742,0.06038171178595245,6,8,19,535,2.454020717994373,2.112527120688636,2.515544974477847,0.600110527924692,0.3608150510035508,COMPLETE
79,-0.7272284389369602,2025-12-07 14:18:53.554591,2025-12-07 14:19:28.538643,0 days 00:00:34.984052,6.1965317136365705,0.8379835103465203,0.3321647720462449,0.05281460414170299,6,8,15,537,1.2412575294738575,3.0386879118272376,2.5481320963491387,0.7826093313950262,0.31557355839073953,COMPLETE
80,-0.7177655483826767,2025-12-07 14:18:53.944630,2025-12-07 14:19:41.330125,0 days 00:00:47.385495,6.347873291498798,0.8410091442284832,0.3241536381445166,0.010179758934025054,2,6,15,441,1.2324408129503737,3.017121346956718,2.5501147736345304,0.603196469031853,0.35678030490957696,COMPLETE
81,-0.7263501980370639,2025-12-07 14:18:53.989480,2025-12-07 14:19:33.756543,0 days 00:00:39.767063,6.330897753277322,0.8311934247533816,1.3145769681369466,0.052983076783853215,6,6,19,692,1.2911517229663554,1.814078851108511,2.5127682565255594,0.692740711304218,0.3585679723213796,COMPLETE
82,-0.7254971376424614,2025-12-07 14:18:54.642923,2025-12-07 14:19:35.793649,0 days 00:00:41.150726,6.100881604188539,0.6937283007549919,1.2596542985691086,0.05696125654381824,6,6,19,538,1.3595243604624803,1.8759880710565393,2.546878814255435,0.6892601658052978,0.31620657558066134,COMPLETE
83,-0.7274231569948236,2025-12-07 14:18:57.251151,2025-12-07 14:19:37.463388,0 days 00:00:40.212237,4.184739449521502,0.7299048752140627,1.321636416693217,0.05888720184901684,6,6,15,691,1.3424571551686164,2.9894715230016633,2.6131900909469876,0.6924323641501053,0.31747800022323136,COMPLETE
84,-0.7280669227264266,2025-12-07 14:18:59.535682,2025-12-07 14:19:44.222670,0 days 00:00:44.686988,3.965912263937979,0.730603200970985,1.283831040452528,0.0564906458457607,6,6,19,540,1.2561226947939876,3.068752986723596,2.583111165147629,0.6885527635629793,0.318595310230486,COMPLETE
85,-0.7284896172071483,2025-12-07 14:19:01.835048,2025-12-07 14:19:43.964911,0 days 00:00:42.129863,4.2971283161954625,0.7343457483068647,1.2677007256375352,0.06181036075188275,6,6,19,544,4.970602390087011,3.0806691491575875,2.5367647903292614,0.6950899623267506,0.31730220431969686,COMPLETE
86,-0.725494917967119,2025-12-07 14:19:02.322986,2025-12-07 14:19:40.675994,0 days 00:00:38.353008,6.214380447851915,0.7354688490738112,1.3047572978782187,0.0603031918749453,6,6,19,700,1.1944992408275255,3.055905833555274,2.496488520106763,0.6929876991983055,0.3153133758748058,COMPLETE
87,-0.7259804272867093,2025-12-07 14:19:02.702844,2025-12-07 14:20:04.305604,0 days 00:01:01.602760,6.2839289792929875,0.7317771830282152,0.3273937610921487,0.03645220313168238,6,6,18,693,1.2560762568441053,4.205377891137869,2.5334550325519034,0.7866248453247506,0.3189438243561826,COMPLETE
